speaker,emotion,size,min,max,mean,std,sum,sum_hms
bea,amused,296,1.5380045351473923,8.63437641723356,4.151003094931667,1.0572756832382553,1228.6969160997735,0 days 00:20:28.696916000
bea,angry,304,1.4918820861678004,7.098866213151928,3.760670575247639,0.8639788225602978,1143.2438548752823,0 days 00:19:03.243855000
bea,disgusted,333,1.5300680272108844,8.39233560090703,5.241495781495782,1.2863864080613205,1745.4180952380955,0 days 00:29:05.418095000
bea,neutral,357,1.7087981859410433,7.0212698412698415,3.9287227271861105,0.9033845668248676,1402.5540136054415,0 days 00:23:22.554014000
bea,sleepy,496,2.894557823129252,11.69092970521542,6.1942619413356725,1.556029881104911,3072.3539229024937,0 days 00:51:12.353923000
jenie,amused,222,2.4561451247165533,9.371473922902494,4.965612551326836,1.2319990824330698,1102.3659863945575,0 days 00:18:22.365986000
jenie,angry,496,2.4982766439909296,11.026439909297054,5.285675974690952,1.07120704772365,2621.6952834467124,0 days 00:43:41.695283000
jenie,disgusted,189,2.780816326530612,8.696507936507938,4.945780753218395,1.030626735639339,934.7525623582767,0 days 00:15:34.752562000
jenie,neutral,417,2.2131065759637187,7.383582766439908,4.534747603277922,0.9436689594417769,1890.9897505668935,0 days 00:31:30.989751000
jenie,sleepy,466,2.3531972789115647,8.589160997732426,4.887935340087392,1.1160696229114517,2277.7778684807245,0 days 00:37:57.777868000
josh,amused,298,1.6155102040816327,6.3566439909297054,4.058716614162446,0.9462926416232884,1209.4975510204088,0 days 00:20:09.497551000
josh,neutral,302,1.6227664399092971,5.965714285714285,3.4621577991019814,0.818647765544063,1045.5716553287984,0 days 00:17:25.571655000
josh,sleepy,263,2.3068480725623584,8.093650793650793,4.781520050352208,1.083404337348989,1257.5397732426306,0 days 00:20:57.539773000
sam,amused,501,2.8756916099773244,13.162857142857144,6.507076459326243,1.6462172235666528,3260.045306122448,0 days 00:54:20.045306000
sam,angry,468,1.6992290249433106,6.919954648526077,3.97795656724228,0.897943505945738,1861.683673469387,0 days 00:31:01.683673000
sam,disgusted,496,2.9365079365079363,11.450385487528346,6.401904487601487,1.5130774807952434,3175.3446258503377,0 days 00:52:55.344626000
sam,neutral,492,1.399092970521542,6.716961451247165,3.573197278911565,0.8324143665225017,1758.01306122449,0 days 00:29:18.013061000
sam,sleepy,495,2.365532879818594,13.067891156462586,6.3764499415928055,1.5460414639365652,3156.342721088439,0 days 00:52:36.342721000
